,data,percent,player,rank
379,175,0.1,G-6-222449-,13
380,4,4.1,G-6-222449-,15578
381,0,100.0,G-6-222449-,35740
382,0,100.0,G-6-222449-,35740
383,131,0.1,G-6-222449-,340
384,0.75,2.7,G-6-222449-,270
385,0,100.0,G-6-222449-,29008
386,1,13.0,G-6-222449-,9329
387,175,0.1,G-6-222449-,22
388,175,0.1,G-6-222449-,400
389,11,3.3,G-6-222449-,5004
390,3,3.6,G-6-222449-,2329
391,0,100.0,G-6-222449-,0
392,1,100.0,G-6-222449-,89135
393,1923.12,12.0,G-6-222449-,29722
394,1923.12,12.0,G-6-222449-,29722
395,1593.36,7.0,G-6-222449-,125
396,2152,0.1,G-6-222449-,3
397,66277.53,1.4,G-6-222449-,13975
398,156984.1,0.1,G-6-222449-,1326
399,223261.6,0.2,G-6-222449-,3129
400,2285.43,15.0,G-6-222449-,2695
401,5413.24,1.3,G-6-222449-,97
402,551.85,0.3,G-6-222449-,967
403,18,21.0,G-6-222449-,73531
404,0,100.0,G-6-222449-,1
405,138,0.2,G-6-222449-,2562
406,17958.83,0.2,G-6-222449-,1986
407,0,100.0,G-6-222449-,1
408,5.67,3.5,JiuLing-King,545
409,26.03,6.0,JiuLing-King,491
410,88975.27,0.1,JiuLing-King,1637
411,73,0.5,JiuLing-King,6484
412,19,0.1,JiuLing-King,31
413,0.54,8.0,JiuLing-King,4016
414,35,0.1,JiuLing-King,357
415,47.95,15.0,JiuLing-King,1201
416,54,1.3,JiuLing-King,12599
417,2548,0.1,JiuLing-King,24
418,2580.71,0.1,JiuLing-King,21
419,14,0.2,JiuLing-King,0
420,513.26,4.4,JiuLing-King,467
421,1.44,4.4,JiuLing-King,1246
422,2,26.0,JiuLing-King,10946
423,4.19,6.0,JiuLing-King,728
424,4118.03,16.0,JiuLing-King,4303
425,0,100.0,JiuLing-King,1
426,0.03,10.0,JiuLing-King,20243
427,0.01,14.0,JiuLing-King,33404
428,1218.84,18.0,JiuLing-King,2517
429,0.48,15.0,JiuLing-King,1201
430,306,0.1,JiuLing-King,23
431,15,0.1,JiuLing-King,458
432,1,16.0,JiuLing-King,10833
433,1,16.0,JiuLing-King,10833
434,105,0.1,JiuLing-King,487
435,0.34,16.0,JiuLing-King,8626
436,6,0.1,JiuLing-King,214
437,2,2.7,JiuLing-King,3451
438,51,0.2,JiuLing-King,1185
439,51,0.8,JiuLing-King,8133
440,12,2.1,JiuLing-King,3236
441,3,3.6,JiuLing-King,2329
442,0,100.0,JiuLing-King,0
443,9,0.2,JiuLing-King,8137
444,1961.08,7.0,JiuLing-King,17868
445,1961.08,7.0,JiuLing-King,17868
446,1218.84,18.0,JiuLing-King,3372
447,2090,0.1,JiuLing-King,31
448,168194.5,0.1,JiuLing-King,1077
449,132421.8,0.1,JiuLing-King,2033
450,300616.4,0.1,JiuLing-King,1333
451,2304.03,15.0,JiuLing-King,2549
452,1814,19.0,JiuLing-King,9644
453,760.69,0.1,JiuLing-King,213
454,146,0.2,JiuLing-King,2461
455,0,100.0,JiuLing-King,1
456,233,0.1,JiuLing-King,591
457,37468.11,0.1,JiuLing-King,276
458,0,100.0,JiuLing-King,1
459,3.26,11.0,TenX-2246682262,2677
460,18.42,8.0,TenX-2246682262,1161
461,113620.2,0.1,TenX-2246682262,720
462,76,0.5,TenX-2246682262,5887
463,14,0.1,TenX-2246682262,0
464,0.36,13.0,TenX-2246682262,10849
465,39,0.1,TenX-2246682262,258
466,51.32,9.0,TenX-2246682262,867
467,62,0.8,TenX-2246682262,9199
468,2543,0.1,TenX-2246682262,0
469,2543.28,0.1,TenX-2246682262,27
470,0,100.0,TenX-2246682262,0
471,364.25,11.0,TenX-2246682262,1976
472,0.29,38.0,TenX-2246682262,31679
473,1.64,32.0,TenX-2246682262,21296
474,2.66,17.0,TenX-2246682262,3913
475,6807.09,2.7,TenX-2246682262,212
476,0,100.0,TenX-2246682262,1
477,0,100.0,TenX-2246682262,29063
478,0.04,12.0,TenX-2246682262,16710
479,1495,9.0,TenX-2246682262,216
480,0.51,9.0,TenX-2246682262,867
481,202,0.1,TenX-2246682262,0
482,15,0.1,TenX-2246682262,458
483,3,0.8,TenX-2246682262,1007
484,3,0.7,TenX-2246682262,1007
485,22,0.8,TenX-2246682262,7008
486,0.11,58.0,TenX-2246682262,79203
487,6,0.1,TenX-2246682262,214
488,0,100.0,TenX-2246682262,29063
489,5,36.0,TenX-2246682262,47805
490,166,0.1,TenX-2246682262,458
491,8,12.0,TenX-2246682262,16097
492,2,24.0,TenX-2246682262,9012
493,0,100.0,TenX-2246682262,0
494,6,4.1,TenX-2246682262,30361
495,2175.26,0.9,TenX-2246682262,2483
496,2175.26,0.9,TenX-2246682262,2483
497,1495,9.0,TenX-2246682262,331
498,2115,0.1,TenX-2246682262,0
499,179766.6,0.1,TenX-2246682262,844
500,337572.4,0.1,TenX-2246682262,129
501,517339,0.1,TenX-2246682262,181
502,2365.35,14.0,TenX-2246682262,2151
503,4441.74,2.4,TenX-2246682262,337
504,331.7,3.6,TenX-2246682262,10193
505,125,0.3,TenX-2246682262,3764
506,0,100.0,TenX-2246682262,1
507,172,0.1,TenX-2246682262,1406
508,27683.15,0.1,TenX-2246682262,675
509,0,100.0,TenX-2246682262,1
510,5.58,3.5,WG_qun491490607,573
511,31.75,4.3,WG_qun491490607,267
512,82088.37,0.1,WG_qun491490607,2103
513,63,0.8,WG_qun491490607,9290
514,20,0.1,WG_qun491490607,0
515,0.61,8.0,WG_qun491490607,3320
516,33,0.1,WG_qun491490607,416
517,52.38,9.0,WG_qun491490607,795
518,43,2.4,WG_qun491490607,20136
519,2538,0.1,WG_qun491490607,0
520,2538.43,0.1,WG_qun491490607,29
521,0,100.0,WG_qun491490607,0
522,646.64,2.2,WG_qun491490607,143
523,1.86,3.2,WG_qun491490607,841
524,0.83,61.0,WG_qun491490607,68019
525,3.81,8.0,WG_qun491490607,1056
526,6608.25,3.2,WG_qun491490607,258
527,0,100.0,WG_qun491490607,1
528,0,100.0,WG_qun491490607,29063
529,0.06,10.0,WG_qun491490607,4285
530,1302.99,15.0,WG_qun491490607,1349
531,0.52,9.0,WG_qun491490607,783
532,240,0.1,WG_qun491490607,0
533,42,0.1,WG_qun491490607,4
534,4,0.2,WG_qun491490607,348
535,4,0.2,WG_qun491490607,348
536,117,0.1,WG_qun491490607,409
537,0.49,10.0,WG_qun491490607,2051
538,3,0.8,WG_qun491490607,1397
539,0,100.0,WG_qun491490607,29063
540,8,21.0,WG_qun491490607,34581
