,data,percent,player,rank
359,101504,0.1,NuhuoGongXin_J1e,2870
360,89,0.5,NuhuoGongXin_J1e,9568
361,22,0.1,NuhuoGongXin_J1e,29
362,0.55,8.0,NuhuoGongXin_J1e,7179
363,40,0.1,NuhuoGongXin_J1e,680
364,44.94,15.0,NuhuoGongXin_J1e,3451
365,67,1.2,NuhuoGongXin_J1e,18396
366,2594,0.1,NuhuoGongXin_J1e,27
367,2593.51,0.1,NuhuoGongXin_J1e,13
368,21,100.0,NuhuoGongXin_J1e,null
369,445.22,8.0,NuhuoGongXin_J1e,3015
370,2.22,2.4,NuhuoGongXin_J1e,2067
371,1.37,37.0,NuhuoGongXin_J1e,59564
372,4.24,7.0,NuhuoGongXin_J1e,2631
373,4430.14,16.0,NuhuoGongXin_J1e,9927
374,0,100.0,NuhuoGongXin_J1e,1
375,0.02,16.0,NuhuoGongXin_J1e,57571
376,0.01,12.0,NuhuoGongXin_J1e,52572
377,1140.49,23.0,NuhuoGongXin_J1e,9325
378,0.45,15.0,NuhuoGongXin_J1e,3451
379,377,0.1,NuhuoGongXin_J1e,14
380,5,2.3,NuhuoGongXin_J1e,21206
381,1,14.0,NuhuoGongXin_J1e,14915
382,1,14.0,NuhuoGongXin_J1e,14917
383,198,0.1,NuhuoGongXin_J1e,423
384,0.53,6.0,NuhuoGongXin_J1e,3801
385,0,100.0,NuhuoGongXin_J1e,65910
386,2,6.0,NuhuoGongXin_J1e,13501
387,67,0.1,NuhuoGongXin_J1e,1136
388,107,0.2,NuhuoGongXin_J1e,2115
389,16,0.7,NuhuoGongXin_J1e,1733
390,2,28.0,NuhuoGongXin_J1e,23002
391,0,100.0,NuhuoGongXin_J1e,null
392,11,0.4,NuhuoGongXin_J1e,21986
393,1949.92,13.0,NuhuoGongXin_J1e,52162
394,1949.92,13.0,NuhuoGongXin_J1e,52162
395,1140.49,23.0,NuhuoGongXin_J1e,12127
396,2133,0.1,NuhuoGongXin_J1e,29
397,121763,0.8,NuhuoGongXin_J1e,9087
398,272519.1,0.1,NuhuoGongXin_J1e,1262
399,394282.1,0.4,NuhuoGongXin_J1e,3878
400,1368.12,45.0,NuhuoGongXin_J1e,53749
401,3062.01,10.0,NuhuoGongXin_J1e,6285
402,777,0.4,NuhuoGongXin_J1e,1966
403,122,0.5,NuhuoGongXin_J1e,8748
404,0,100.0,NuhuoGongXin_J1e,1
405,343,0.1,NuhuoGongXin_J1e,551
406,39624.19,0.1,NuhuoGongXin_J1e,754
407,0,null,NuhuoGongXin_J1e,1
408,10.64,1.0,WG-10100166,402
409,52.17,1.5,WG-10100166,141
410,66951.45,0.5,WG-10100166,9851
411,46,3.2,WG-10100166,40804
412,24,0.1,WG-10100166,null
413,0.77,7.0,WG-10100166,3028
414,31,0.1,WG-10100166,1336
415,67.39,8.0,WG-10100166,332
416,22,12.0,WG-10100166,113416
417,2586,0.1,WG-10100166,null
418,2586.42,0.1,WG-10100166,15
419,0,100.0,WG-10100166,null
420,554.34,4.6,WG-10100166,1389
421,3.07,1.2,WG-10100166,961
422,0.91,56.0,WG-10100166,115922
423,5.09,4.2,WG-10100166,1395
424,8015.46,2.0,WG-10100166,2300
425,0,100.0,WG-10100166,1
426,0,100.0,WG-10100166,71907
427,0.04,9.0,WG-10100166,17617
428,1455.47,10.0,WG-10100166,764
429,0.67,8.0,WG-10100166,330
430,234,0.1,WG-10100166,null
431,6,1.3,WG-10100166,14483
432,2,2.6,WG-10100166,4144
433,2,2.6,WG-10100166,4146
434,141,0.1,WG-10100166,903
435,0.6,4.3,WG-10100166,2293
436,4,0.6,WG-10100166,2771
437,0,100.0,WG-10100166,71907
438,31,0.9,WG-10100166,5924
439,142,0.1,WG-10100166,1038
440,11,6.0,WG-10100166,12916
441,4,2.2,WG-10100166,3746
442,0,100.0,WG-10100166,null
443,3,40.0,WG-10100166,152208
444,1976.86,6.0,WG-10100166,26546
445,1976.86,6.0,WG-10100166,26546
446,1455.47,10.0,WG-10100166,1108
447,2146,0.1,WG-10100166,null
448,98532.97,1.1,WG-10100166,13991
449,270178.4,0.1,WG-10100166,1292
450,368711.3,0.5,WG-10100166,4220
451,2142.02,16.0,WG-10100166,8131
452,5873.44,1.4,WG-10100166,427
453,968.51,0.1,WG-10100166,364
454,42,7.0,WG-10100166,69556
455,0,100.0,WG-10100166,1
456,212,0.1,WG-10100166,2404
457,25499.48,0.1,WG-10100166,2374
458,0,null,WG-10100166,1
459,10.83,1.0,Ht_beyond,377
460,56.1,1.5,Ht_beyond,89
461,63500.46,0.5,Ht_beyond,11336
462,41,4.0,Ht_beyond,49717
463,23,0.1,Ht_beyond,28
464,0.7,7.0,Ht_beyond,3926
465,33,0.1,Ht_beyond,1158
466,80.49,6.0,Ht_beyond,47
467,18,16.0,Ht_beyond,139927
468,2557,0.1,Ht_beyond,36
469,2582.07,0.1,Ht_beyond,17
470,11,100.0,Ht_beyond,null
471,505.93,6.0,Ht_beyond,1938
472,2.8,1.8,Ht_beyond,1238
473,0.9,57.0,Ht_beyond,117278
474,4.76,6.0,Ht_beyond,1793
475,7229.45,3.1,Ht_beyond,2564
476,0,100.0,Ht_beyond,1
477,0.07,11.0,Ht_beyond,12340
478,0.05,8.0,Ht_beyond,14197
479,1548.79,8.0,Ht_beyond,266
480,0.8,7.0,Ht_beyond,47
481,195,0.1,Ht_beyond,525
482,4,4.3,Ht_beyond,31871
483,2,2.6,Ht_beyond,4144
484,2,2.6,Ht_beyond,4146
485,115,0.1,Ht_beyond,1336
486,0.59,4.4,Ht_beyond,2524
487,4,0.6,Ht_beyond,2771
488,3,2.1,Ht_beyond,6908
489,66,0.1,Ht_beyond,1172
490,70,0.6,Ht_beyond,5776
491,12,4.0,Ht_beyond,9159
492,3,6.0,Ht_beyond,8578
493,0,100.0,Ht_beyond,null
494,9,2.1,Ht_beyond,42580
495,1910.56,18.0,Ht_beyond,71676
496,1910.56,18.0,Ht_beyond,71676
497,1548.79,8.0,Ht_beyond,410
498,2134,0.1,Ht_beyond,28
499,105555.1,1.0,Ht_beyond,12174
500,190852.4,0.1,Ht_beyond,2947
501,296407.5,0.5,Ht_beyond,6182
502,2574.52,9.0,Ht_beyond,4231
503,4654.94,3.3,Ht_beyond,1199
504,578.86,1.0,Ht_beyond,4410
505,37,9.0,Ht_beyond,81425
506,0,100.0,Ht_beyond,1
507,174,0.2,Ht_beyond,4115
508,20743.33,0.2,Ht_beyond,3981
509,0,null,Ht_beyond,1
510,1.94,33.0,k_Killing,27793
511,17.98,8.0,k_Killing,3193
512,162646.3,0.1,k_Killing,538
513,178,0.1,k_Killing,1069
514,32,0.1,k_Killing,null
515,0.82,7.0,k_Killing,2763
516,39,0.1,k_Killing,738
517,21.91,32.0,k_Killing,32065
518,146,0.1,k_Killing,2122
519,2556,0.1,k_Killing,null
520,2555.54,0.1,k_Killing,21
521,0,100.0,k_Killing,null
522,161.07,49.0,k_Killing,62895
523,0.3,38.0,k_Killing,52804
524,0.09,79.0,k_Killing,170179
525,1.59,40.0,k_Killing,41366
526,1586.25,71.0,k_Killing,130881
527,0,100.0,k_Killing,1
528,0.01,17.0,k_Killing,71697
529,0,100.0,k_Killing,56108
530,913.74,42.0,k_Killing,38000
531,0.22,32.0,k_Killing,32069
532,283,0.1,k_Killing,null
533,3,9.0,k_Killing,48300
534,0,100.0,k_Killing,56090
535,0,100.0,k_Killing,56108
536,54,0.4,k_Killing,4617
537,0.19,41.0,k_Killing,92046
538,1,16.0,k_Killing,25586
539,1,19.0,k_Killing,29684
540,33,0.8,k_Killing,5247
541,283,0.1,k_Killing,125
542,10,8.0,k_Killing,17926
543,4,2.2,k_Killing,3746
544,0,100.0,k_Killing,null
545,5,17.0,k_Killing,115559
546,1898.45,20.0,k_Killing,77725
547,1898.45,20.0,k_Killing,77725
548,913.74,42.0,k_Killing,41857
549,2122,0.1,k_Killing,null
550,110708.9,0.9,k_Killing,11047
551,171643.3,0.2,k_Killing,3811
552,282352.2,0.6,k_Killing,6786
553,621.96,84.0,k_Killing,160820
554,964.29,49.0,k_Killing,81853
555,618.08,0.9,k_Killing,3735
556,16,25.0,k_Killing,146041
557,0,100.0,k_Killing,1
558,119,0.5,k_Killing,11004
559,28670.22,0.1,k_Killing,1764
560,0,null,k_Killing,1
561,9.73,1.3,qianyu7,515
562,41.57,2.9,qianyu7,364
563,115061.5,0.1,qianyu7,1866
564,89,0.5,qianyu7,9568
565,37,0.1,qianyu7,41
566,0.71,7.0,qianyu7,3814
567,52,0.1,qianyu7,270
568,58.43,9.0,qianyu7,919
569,52,2.3,qianyu7,31266
570,2555,0.1,qianyu7,39
571,2558.92,0.1,qianyu7,19
572,1,100.0,qianyu7,null
573,578.06,4.1,qianyu7,1164
574,3.66,0.9,qianyu7,566
575,0.52,68.0,qianyu7,157463
576,5.69,3.5,qianyu7,886
577,3610.29,25.0,qianyu7,20456
578,0,100.0,qianyu7,1
579,0,100.0,qianyu7,71907
580,0,100.0,qianyu7,56108
581,1292.83,16.0,qianyu7,3234
582,0.58,9.0,qianyu7,919
583,506,0.1,qianyu7,64
584,5,2.3,qianyu7,21206
585,0,100.0,qianyu7,56090
586,0,100.0,qianyu7,56108
587,326,0.1,qianyu7,112
588,0.64,3.8,qianyu7,1770
589,2,4.3,qianyu7,10790
590,0,100.0,qianyu7,71907
591,11,11.0,qianyu7,34183
592,346,0.1,qianyu7,57
593,15,1.1,qianyu7,2614
594,3,6.0,qianyu7,8578
595,0,100.0,qianyu7,null
596,9,2.1,qianyu7,42580
597,2021.58,2.9,qianyu7,14155
598,2021.58,2.9,qianyu7,14155
599,1292.82,15.0,qianyu7,4510
600,2109,0.1,qianyu7,41
601,157624.8,0.6,qianyu7,5521
602,163690.8,0.2,qianyu7,4246
