,data,percent,player,rank
92,87527.88,1.7,Q9N-639965248,13630
93,210550.3,1.0,Q9N-639965248,8161
94,3237.43,2.9,Q9N-639965248,204
95,2303.36,16.0,Q9N-639965248,12151
96,735.64,0.1,Q9N-639965248,332
97,44,19.0,Q9N-639965248,89851
98,6,13.0,Q9N-639965248,52571
99,136,0.6,Q9N-639965248,4751
100,22637.14,0.2,Q9N-639965248,2378
101,106,0.3,Q9N-639965248,2657
102,4.06,7.0,Arthur_Saber,2722
103,34.62,3.8,Arthur_Saber,395
104,69094.99,0.8,Arthur_Saber,6629
105,52,4.4,Arthur_Saber,27080
106,18,0.1,Arthur_Saber,43
107,0.5,14.0,Arthur_Saber,4566
108,36,0.1,Arthur_Saber,1312
109,69.23,8.0,Arthur_Saber,727
110,34,11.0,Arthur_Saber,56902
111,2345,0.1,Arthur_Saber,71
112,2344.75,0.1,Arthur_Saber,15
113,23,null,Arthur_Saber,0
114,343.72,13.0,Arthur_Saber,6554
115,1.02,4.6,Arthur_Saber,3090
116,2.15,33.0,Arthur_Saber,38879
117,2.65,15.0,Arthur_Saber,7917
118,4647.92,13.0,Arthur_Saber,5449
119,0.23,27.0,Arthur_Saber,33902
120,0.02,11.0,Arthur_Saber,31585
121,0.08,10.0,Arthur_Saber,11508
122,1328.75,12.0,Arthur_Saber,1660
123,0.69,8.0,Arthur_Saber,727
124,138,0.5,Arthur_Saber,3714
125,36,0.2,Arthur_Saber,2220
126,4,0.5,Arthur_Saber,1048
127,4,1.5,Arthur_Saber,3141
128,53,0.4,Arthur_Saber,2282
129,0.38,11.0,Arthur_Saber,7618
130,2,null,Arthur_Saber,9410
131,1,null,Arthur_Saber,11883
132,43,0.7,Arthur_Saber,4753
133,91,0.5,Arthur_Saber,3836
134,12,3.5,Arthur_Saber,6332
135,4,null,Arthur_Saber,554
136,0,100.0,Arthur_Saber,0
137,8,0.6,Arthur_Saber,19451
138,2193.18,0.3,Arthur_Saber,647
139,2193.18,0.3,Arthur_Saber,647
140,1328.75,12.0,Arthur_Saber,2506
141,1969,0.1,Arthur_Saber,43
142,110520.4,1.1,Arthur_Saber,8024
143,131171.5,0.4,Arthur_Saber,4352
144,241692,0.6,Arthur_Saber,5185
145,2125.39,17.0,Arthur_Saber,8223
146,2522.53,13.0,Arthur_Saber,8670
147,804.08,0.1,Arthur_Saber,162
148,112,2.8,Arthur_Saber,17921
149,12,2.3,Arthur_Saber,14017
150,134,0.6,Arthur_Saber,4980
151,17873.25,0.5,Arthur_Saber,5017
152,73,0.9,Arthur_Saber,7774
153,10.65,0.8,mirskele3521,62
154,42.5,3.3,mirskele3521,126
155,52438.8,2.1,mirskele3521,15383
156,40,8.0,mirskele3521,45951
157,17,0.1,mirskele3521,99
158,0.63,7.0,mirskele3521,2355
159,27,0.3,mirskele3521,3479
160,67.5,8.0,mirskele3521,920
